Size,First,Last,Middle,Random
10,0,0,0,0.166667
20,0,0.6,0,1
30,0,1,0.0333333,1
40,0.133333,1.53333,0.166667,2
50,0.8,2.4,0.133333,2.6
60,1.03333,3.16667,0.1,2.13333
70,1.36667,4.2,0.0666667,3
80,4.43333,10.8667,1.43333,7.4
90,4.33333,9.4,1,3.73333
100,2.06667,5.4,0.0666667,2.83333
110,3.76667,10.3,0.533333,3.7
120,6.46667,16.8,1.3,6.4
130,5.03333,11.6,0.733333,4.03333
140,4.23333,11.2,1.03333,4.03333
150,9.4,23.1667,2.1,7.46667
160,10.1333,31.9667,2.23333,7.7
170,10.8333,44.0667,1.9,10.3667
180,17,47.8333,2.93333,10.3
190,17.4333,56.3333,3.36667,13.3667
200,11.1,34.0667,1.83333,8.5
210,15.3667,38.8667,2.06667,10
220,20.6667,58.9667,3.26667,11.7
230,20.5667,59,2.76667,10.9
240,39.9333,118.467,5.93333,17.8333
250,35.3333,97.2667,4.86667,15.8
260,33.3333,68.6,3.9,14.4
270,27.3,67.9333,3.03333,14.3333
280,29.2,106.667,3.83333,14.1
290,40.5,125.767,4.56667,16.9333
300,37.1,97.6333,6.06667,18.3
310,36.9333,102.733,4.93333,20.4667
320,35,94.7667,4.4,17.3333
330,45,117.367,5.5,18.8667
340,49.9667,136.7,6.2,19.7667
350,63.0333,185.8,7.73333,23.2667
360,71.7667,222.133,9.16667,28.8
370,62.8333,173.6,7.7,23.3333
380,86.7,262.833,10.3667,27.0333
390,55,150.9,6.2,22.4
400,61.3667,159.733,6.53333,22.6333
410,79.5,225.933,8.4,28.3667
420,86.5667,230.067,8.1,26.1667
430,73.2,186.6,6.6,23.7
440,74.5,227.833,6.93333,24.3667
450,71.7667,190.7,6.93333,23.9
460,84.0667,200.833,7,25.6667
470,94.2667,255.3,9.13333,29.8
480,83.3,255.733,6.96667,27
490,101.333,287.1,9.33333,31.9667
500,144.967,461.6,13.1333,42.9667
510,98.1333,251.5,7.53333,29.9667
520,93.6667,261.3,7.83333,32.8
530,87.9667,252.633,7.43333,27.1667
540,118.533,359.1,11.1667,40.0667
550,116.067,348,10.9333,35.6
560,119.833,311.1,9.16667,30.5
570,165.733,530.433,13.0667,39.3
580,120.233,352.567,10.5333,35.3667
590,119.3,353.667,10.5333,31.8
600,153.567,465.333,11.8667,41.1333
610,191.3,503.433,13.5,41.5333
620,152.167,432.8,12.1,37.4
630,125.6,372.6,8.53333,32.9
640,126.7,367.067,9.66667,33.6333
650,158.233,426.333,11.9333,38.6667
660,148.033,425.9,10.1667,37.2333
670,177.367,475.8,15.7,40.0667
680,175.933,509.9,12,39.9
690,173.1,491,11.3667,48.4333
700,206,626.433,14.3667,43.7667
710,210.867,660.867,18.4667,40.9333
720,212.233,672.367,15.9,49.3
730,202.6,616.233,14.4667,47.8
740,210.967,623.067,14.8,45.1333
750,207.6,569.467,12.9667,43.9
760,239.067,704.9,16.7333,51
770,298.2,894.333,19.4,60.3667
780,265.233,810.633,17.9333,56
790,223.3,662.533,14.0333,45.5667
800,207.633,581.3,13.3,43.4667
810,225.9,678.733,13.4,46.1333
820,242.233,670.533,12.9667,46.1667
830,227.667,713.767,16.2,51.0667
840,248.367,738.067,16.4667,52.7667
850,259.5,719.467,16.6,54.1
860,238.767,645.3,11.7667,47.3667
870,249.8,756.9,16.8333,50.9667
880,241.9,713.567,13.8,48.3
890,277.8,774.067,15.1333,54.7
900,287.067,803.333,18.9,52.0333
910,264.267,753.533,15.7333,52.3333
920,284.567,838.667,14.4333,53.6333
930,291.6,814.533,13.4667,49.1667
940,293.533,864.067,15.4333,51.1667
950,264.633,834.267,14,48.9667
960,337.933,967.567,15.1,61.7667
970,387.433,1172.57,18.8667,58.6
980,382.4,1118.83,27.6,59.2
990,396.8,1115,16.4,55.3
1000,359.933,1137.93,18.4667,65.1667
1010,381.233,1172.13,18.4,63.8
1020,395.733,1224.67,20.3667,63.7333
1030,445.867,1268.37,22.4667,65.7667
1040,412.567,1237.07,21.4333,63.8333
1050,424.667,1292.8,20.9333,68.3667
1060,446.733,1219.47,20.2667,64.6667
1070,431.5,1344.23,19.0667,65.5667
1080,349.3,1066.43,15.8667,50.9
1090,261.667,752.1,12.1333,42.8667
1100,235.6,681.367,9.9,38.2333
1110,229.567,660.667,10.0333,37.5
1120,252.033,693.2,13.6333,41.4333
1130,240.1,694.433,10.7667,40.4
1140,262.3,714.067,11.8333,40.3667
1150,283.533,772.167,11.1333,40.5333
1160,261.933,757.4,11.3333,40.3
1170,248.167,787.867,10.7,39.9667
1180,262.3,807.3,11.4667,42.6333
1190,294.333,880.333,11.8667,44.3333
1200,268.867,835.1,11.4333,41.3
1210,309.733,819.133,12.1667,43.0333
1220,312.367,883.367,13.8333,44.1333
1230,286.567,998.267,12.4667,43.7667
1240,333.733,950.5,13.3,44.4667
1250,305.367,999.767,13.7,45.8667
1260,353.1,1023.67,14.4667,48.5667
1270,380.433,938.5,14.1,47.9667
1280,342.567,1187.77,16.0333,49.5667
1290,318.7,1055.43,13.7,46.5
1300,342.367,1092.1,14.7333,48.5667
1310,468.033,1335.67,18.1333,59.9
1320,466.467,1346.5,17.0667,54.7333
1330,586.1,1587.6,29.3,65.1667
1340,604.867,1917.77,25.2667,88.6333
1350,598.7,1803.73,24.7667,83.0333
1360,555.867,1725.67,26.0667,87.5
1370,739.067,1985.63,28.3,94.2333
1380,610.233,1910.8,26.4,85.2333
1390,629.167,1822.9,26.5333,80.1333
1400,591,1849.93,22.4333,76.5333
1410,663.133,2012.97,27,84.8667
1420,602.033,1941.9,27.5,80
1430,624,1940.87,23.7667,77.2
1440,685.367,2108.5,27.8667,89.1667
1450,689.067,1966,26.3,82.2
1460,654.2,1859.73,28.7333,84.1
1470,692.1,2106.93,25.7667,89.3
1480,745.833,1880.87,27.4667,98.9333
1490,737.333,2100.5,29.9,99.1333
1500,751,2121.97,31.3667,96.3
1510,792.467,2342.77,33.6,87.9
1520,734.133,2250.83,29.2667,87.5667
1530,838.467,2223.23,33.3,96.2667
1540,751.933,2343.03,28.9,92.1667
1550,791.833,2222.93,32.0333,103.067
1560,726.033,2299.7,28.8333,95.7333
1570,770.833,2386.93,29.5,93.3333
1580,726.967,2221.97,28.3333,89.1333
1590,788.5,2435.33,29.3333,100.067
1600,848.3,2671.7,31.2,99.8
1610,1154.13,3872.7,42.5,139.633
1620,1256.63,3987.3,40.1333,121.8
1630,1204.93,3994.83,48.3,128.7
