Size,First_mean,First_std,Last_mean,Last_std,Middle_mean,Middle_std,Random_mean,Random_std
10,0.23,0.083666,0.226667,0.0583292,0.213333,0.0776079,0.41,0.16887
20,0.273333,0.104826,0.256667,0.085836,0.206667,0.0827682,0.63,0.0702213
30,0.703333,0.200832,0.76,0.206113,0.436667,0.121721,1.06333,0.129943
40,1.49,4.2753,0.713333,0.209652,0.436667,0.144993,1.12333,0.127802
50,0.893333,0.0980265,0.95,0.110641,0.473333,0.114269,1.42,0.129721
60,1.37333,0.0691492,1.47667,0.0971431,0.546667,0.113664,1.56667,0.102833
70,1.61667,0.166264,1.64333,0.216051,0.653333,0.113664,1.9,0.155364
80,2.47667,0.844325,2.54,0.865667,0.876667,0.264814,2.34,0.297808
90,2.83,0.988608,2.67667,0.457643,0.903333,0.24138,3.1,3.59617
100,5.55,0.449329,12.72,27.156,1.84333,0.414964,4.66,5.60982
110,4.04333,1.11871,9.16667,23.9274,1.18,0.342808,3.21333,0.433696
120,17.74,51.2304,4.38333,0.568169,1.1,0.136458,3.93,3.36197
130,7.21333,12.7796,5.14,0.640366,1.21,0.121343,3.43333,0.205667
140,5.13333,0.280803,5.26333,0.293003,1.31,0.142272,3.76,0.266005
150,6.76667,3.51247,6.82667,3.09782,1.36333,0.171169,3.89667,0.291823
160,6.87667,0.847993,7.39667,2.24061,1.43,0.123596,4.18,0.251067
170,8.50333,3.81544,7.99667,2.3897,1.62333,0.322366,4.38667,0.331905
180,8.27667,2.04816,11.8233,18.9775,2.14,2.65883,4.71333,0.300268
190,14.8867,11.426,25.8833,42.7039,2.73,1.62293,9.19333,12.2871
200,11.36,3.06342,11.74,3.17736,2.01333,0.550694,6.36,4.36298
210,11.2367,3.72989,10.7533,1.88492,1.94667,0.281294,5.58667,0.511747
220,11.9733,1.64462,12.7333,3.19766,1.97333,0.114269,5.71,0.280824
230,12.02,0.814693,12.9633,3.2288,2.05667,0.154659,5.91,0.295191
240,13.1967,2.42494,14.6567,4.36994,2.19667,0.380094,6.25,0.593499
