Size,First,Last,Middle,Random
10,0,0,0,0
20,0,0,0,0
30,0.433333,0.533333,0.6,1.7
40,1,1,1,1.43333
50,1,1,1,2
60,1.8,1.96667,2.03333,2.63333
70,2,2,2,3
80,2.06667,2.46667,2.56667,3.53333
90,2.9,3,3.23333,4
100,3.53333,3.66667,3.73333,5.4
110,4.06667,4.2,4.46667,6.26667
120,5,5.2,5.83333,7.43333
130,5.43333,5.83333,6,7.96667
140,5.06667,5.13333,5.46667,7.13333
150,5,5.5,5.76667,7.66667
160,5.63333,6,6,8.16667
170,6.03333,6.16667,6.56667,8.73333
180,7.46667,8.33333,8,11.0667
190,8.56667,9.3,9.46667,13.0333
200,7.5,8.16667,8.23333,10.9333
210,7.93333,8.3,8.33333,11.0333
220,8.33333,8.76667,8.96667,11.7
230,9.53333,10.0333,10.1667,13.5667
240,14.2667,14.9667,14.6333,20.7333
250,10.2333,10.3667,11.2667,14.0333
260,10.1667,10.9333,10.9,14.4
270,10.8667,11.6333,12.0333,15.3667
280,11.0667,11.9,11.9,15.5333
290,11.7333,11.9667,12.2667,16.4
300,12.0333,12.8667,12.9333,16.7333
310,13.5,15.4333,14.2,18.7
320,13.1,13.6667,13.8667,18.4333
330,13.5333,14.1,14.4333,18.6667
340,14.3,15.7,15.6,19.5
350,14.5,15.2667,15.5333,20.1333
360,15.0667,15.9667,16,20.6
370,15.5667,16.6333,16.6667,21.6
380,15.9333,16.8667,16.9,21.7
390,16.5667,17.1,17.4333,22.2
400,17.7333,18.8667,19.6,25.4
410,17.6,18,18.4,23.9667
420,17.9,19.0333,18.8667,24.7333
430,18.8333,19.4,19.8333,25.5333
440,18.9333,19.9667,20.3,25.8333
450,19.5333,20.7,21.1667,26.6333
460,29.1,28.4,28.3333,37.1667
470,22.9,23.4,23.4333,30.7667
480,25.2,25.3,25.5333,33.7667
490,27.9,24.0667,23.6,30.3333
500,22.1,22.8,23.4333,29.8667
510,22.4333,23.7667,24.2667,30.4667
520,23.0667,24.0333,24.4,30.9
530,24.5,25.4,27.5667,35.8333
540,23.9667,24.8333,25.7333,32.3333
550,24.3333,25.7333,26.4,33.1333
560,25.9667,26.6667,27.0333,35.2
570,26.8,28.6,27.9,36.1667
580,25.9333,27.0667,27.4667,35.3
590,27.5333,28.2,28.4667,37.7333
600,27.2,28.5333,28.9667,36.6
610,27.7667,28.7667,29.3,37.7333
620,32.2,33.2667,32,40.2
630,28.5333,29.8,30.4,38.3
640,31.1333,32.5333,32.8,41.4333
650,31.1667,32.2333,32.0667,40.7
660,30.1667,31.3667,32.3667,40.4333
670,31.6667,32.5,33.1,41.9667
680,31.5667,32.7333,33.3333,42.3667
690,32.3,33.7667,34.6,44.3
700,33.5333,34.7667,36.7,46.6
710,35.2333,37.7333,38.1667,50.1667
720,38.8,40.1667,40.4667,52.4667
730,34.5333,35.6667,35.2,44.9667
740,36.7333,38.5667,38.6,50.0667
750,45.9,41.2,39.2333,51.8
760,40.2333,41.6,44.5333,54.3667
770,37,38.7333,40.0667,49.3333
780,40.3,44.6667,43.1333,53.9
790,40.2333,41.6,43.8667,55.9333
800,39.9,42.6,41.9667,54.3333
810,39.7333,41.7333,41.2667,52.4667
820,43.3667,42.6667,44.0667,56.2333
830,49.2667,46.8333,47.7667,62.8333
840,41.7333,43.5,43.2,55.9667
850,46.8,48.7,48.8,63.6667
860,44.0667,43.8667,44.5,55.3
870,52.7,52.5333,58.9667,86.4333
880,45.0333,46.5667,47.3,61.2
890,54.8333,53.1333,72.8667,72.5
900,44.4,46.4667,49.1333,59
910,50.6,53.4333,50.6667,67.4333
920,46.4,47.1,47.3333,60.2667
930,54.5333,52.3667,52.3,64.4333
940,48.8,49,49.6667,62.4333
950,53.9667,52.1,53.5,66.3
960,58.1,58.1,52.2333,66.5333
970,56.7,52.4,53.2667,73.9
980,48.9667,54.3333,53.7,65.2333
990,54.2667,55.8333,56.3667,73.3667
1000,52.1,51.3667,52.6333,69.5667
1010,50.6,52.3,52.1,65.8333
1020,56.0667,60.7667,59.6667,77
1030,64.2667,65.3,64.3667,79.0667
1040,52.3333,53.9,61.9333,70.5
1050,56.1333,55.6667,56.3333,69.7333
1060,52.9,54.3667,55.6333,71.0667
1070,53.3667,56.5,59.0667,71
1080,55.5,55.5667,56.8667,73.3667
1090,55.2667,57.7667,59.5,76.6
1100,63.6333,65.1333,69.5,87.3667
1110,57.6667,58.6,61.0667,74.6
1120,70.6333,63.1,70.8,79.2
1130,60.2333,62.6333,65.9,79.2667
1140,70,73.2667,68.4,94.0333
1150,63.6,84.3,63.3,85.7667
1160,74.1333,72.1,73.7667,99.5667
1170,65.3333,62.6667,65.0333,83.2
1180,66.7333,67.1,71.8333,95.1333
1190,72.7667,75.8333,72.8667,98.8
1200,63,63.9333,66.4333,80.9
1210,70.6333,73.3333,76.4,92.6
1220,65.7333,64.1333,63.8333,81.5667
1230,63.5333,66.3333,71.6667,86.9
1240,86.7667,81.6333,80.7667,105.433
1250,74.7,84.6333,82.9333,103.8
1260,63.8,64.2333,67.4,87.1333
1270,69.7333,75.2333,76.2,93.6333
1280,76.0667,76.2667,78.5667,97.3667
1290,83.9333,78.2,73.9333,93.4
1300,92.4333,78.7,79.3667,93.4667
1310,75.6333,83.8667,82.1333,96.7
1320,72,69.6667,72.2,91.7667
1330,75.9,75.3,79.1,93.9667
1340,73.4333,76.9667,75.1,95.7
1350,74.0667,78.3333,78.1667,99.9333
1360,73.2333,74.1333,73.3333,95.4667
1370,72.4,75.2333,75.5,100.233
1380,76.1333,76.8667,96.8667,105.167
1390,80.2,82.9,83.9667,109.667
1400,83.1333,83.5,82.1333,102.967
1410,74.3,73.3,75.9667,101.033
1420,80.2,82.4667,81.7333,109.733
1430,73.9333,76.4333,78.0667,96.6333
1440,90.3,84.7,87.2667,120
1450,77.3,83.5,88.2667,105.6
1460,76.7667,80.4667,84.3333,101.033
1470,84.3,84.7333,90.4333,113.1
1480,87.2333,90.4,87.1333,115.233
1490,88.5,94.2333,92,114.7
1500,84,81.0333,83.1667,110.9
1510,81.7667,92.4,84.9,110.067
1520,81.7333,82.5,83.1667,110.333
1530,90.2,83.4,82,109.767
1540,83.3333,84.2,90.5667,118
1550,84.9667,86.3,89.9,108.433
1560,95.5667,98.1667,104.867,127.933
1570,91.3667,91.2,92.1667,117.233
1580,88.0667,85.4,87.6333,106.533
1590,88.9667,95.2333,109.633,128.867
1600,93.0667,89.9667,91.3333,118.633
1610,85.2,93.3333,89.1667,114.667
1620,101.067,93,96.3667,121.967
1630,97.9,101.2,99.6333,127.067
1640,96.4,91.7667,100.567,123.367
1650,96.0667,99.2667,98.4333,130.4
1660,95.6,94.9667,97.5667,135.467
1670,97.7,96.8333,100.8,129.033
1680,94.2333,94.9,99.4,129.067
1690,106.767,111.067,111.9,138.767
1700,109.2,109.767,112.067,139.7
1710,99.3,103.633,98.1,127.4
1720,96.2333,101.633,101.6,125.167
1730,101.767,102.2,99.1667,126.533
1740,97.4,96.5667,96.4,121.4
1750,100.433,99.0667,101.367,123.5
1760,99.1,103.333,100.467,121.133
1770,111.233,102.3,103.767,128.7
1780,100.6,104.633,104.667,130.2
1790,107.367,110.333,110,135.5
1800,102.733,103.4,102.533,134.433
1810,97.3333,98.9,100.133,126.2
1820,109.8,108.733,111.1,141.6
1830,97.1667,102.967,102.3,128.4
1840,102.6,100.267,117.467,142.1
1850,108.6,108,112.533,152.633
1860,117.7,114.8,113.733,140.1
1870,101.9,115.767,106.633,137.333
1880,106.333,113.267,121.9,150.5
1890,106.167,109.133,108,136.467
1900,105.767,108.5,107.233,137.2
1910,110,108.1,115.033,149.567
1920,108.633,109.667,110.567,143.367
1930,108.4,108.4,113.033,140.633
1940,113.433,118.467,125.033,146.467
1950,116.833,133.233,126.867,159.567
1960,120.033,126.5,138.167,165.8
1970,124.667,131.9,117.1,163.867
1980,113.9,120,120.733,148.1
1990,120.167,129.433,136.733,164.967
2000,115.867,127.9,125.767,168.167
2010,135.533,145.033,129.267,153.667
2020,115.9,119.167,118.533,149.767
2030,135.033,140.967,160.867,178.6
2040,125.4,123.9,124.8,171.033
2050,117.333,127.667,125.867,156.1
2060,120.2,132.467,134.233,162.033
2070,145.3,129.4,132.633,164.7
2080,138.967,170.633,153.7,182
2090,126.967,124.9,128.667,166.9
2100,128.3,126.667,127.467,160.267
2110,119.033,135.9,129.5,155.067
2120,133.433,128.3,130.733,162.667
2130,132.767,132.633,138.267,174.9
2140,124.467,122.367,120.8,157.433
2150,128.467,137.2,129.4,177.533
2160,126.6,124.933,128.867,166.5
2170,123.333,124.1,129.7,156.3
2180,124.867,128.833,130.9,157.6
2190,144.567,146.833,143.8,182.233
2200,141.633,144.9,142.9,172.133
2210,126.233,129.933,134.933,169.067
2220,127.133,126.8,133.167,163.667
2230,142.567,132.933,130.867,162.1
2240,131.7,135.667,138.3,170.933
2250,125.9,152.967,132.4,160.5
2260,151.333,143.567,140.433,180.433
2270,132.733,128.2,133.967,161.833
2280,129,129.333,138.233,166.933
2290,168.367,146.567,143.1,180.833
2300,147.9,141.8,149.633,188.667
2310,138.167,141.5,141.867,186.867
2320,143.233,145.833,156.9,185.7
2330,133.233,139.133,136.633,173.367
2340,138.533,138.1,138.4,172.733
2350,139.233,139.767,146.2,193.333
2360,137.567,143.733,161.933,193.167
2370,136.567,142.233,143.233,178
2380,149.667,143.033,142.767,186.367
2390,137.867,145.667,146.9,176.967
2400,138.5,144.2,144.933,169.367
2410,140.3,139.467,161.833,183.8
2420,144,146.667,145.467,177.3
2430,138.433,143.333,143.6,182
2440,148.167,155.8,165.133,195.3
2450,152.067,149.633,155.967,202.633
2460,149.033,156.267,151.033,182.3
2470,144.367,163.467,156.3,188.6
2480,148.567,163.5,162.267,203.733
2490,154.9,155.033,159.6,193.367
2500,174.4,155.333,168.967,205
2510,168.1,167.833,173.367,217.767
2520,152.1,160.267,179.267,195.933
2530,158.567,160.2,162.967,212.467
2540,149.767,156.4,154.4,202.867
2550,161.767,167.867,186.067,204.433
2560,150.833,157.567,165.133,222.233
2570,157.867,163.233,170.367,198.667
2580,160.933,158.167,159.167,196.7
2590,159.133,167.3,161.4,191.733
2600,158.233,158.767,168.333,203.967
2610,164.3,172.867,163.467,207.3
2620,157.767,154.7,154.967,199.467
2630,148.5,150.367,156.167,198.767
2640,180.967,177.967,168.133,223.9
2650,167.833,160.867,162.033,200.2
2660,166.1,176.433,159.233,199.167
2670,164.633,159.9,160.333,194.967
2680,165.833,179.567,163.033,192.633
2690,155.7,160.667,160.467,208.033
2700,159.967,161.933,169.667,212.367
2710,206.6,215.5,210.733,280.733
2720,256.033,256.2,263.1,330.333
2730,232.667,233.7,254.367,302.367
2740,255.967,251.9,278.033,340.3
2750,258.9,262.3,255.833,328.1
2760,248.533,269.833,251.7,331.7
2770,273.833,277.167,277.433,338.167
2780,272.933,273.433,270.367,338.1
2790,270.133,277.9,275.333,343
2800,274.3,286.9,297.433,375.733
2810,255.7,259.333,278.2,330.567
2820,274.867,284.567,286.367,348.967
2830,261.333,277.033,278.6,341.8
2840,272.233,276.533,277.067,338.567
2850,248.4,273.5,266.3,302.167
2860,247.8,241.4,295.633,315.233
2870,260.833,264.5,246.767,308.467
2880,287.1,314.467,290.4,358
2890,249.967,247.467,266.467,316.167
2900,271.567,272.9,259.2,318.733
2910,258.767,257.9,268.267,331.5
2920,233.467,252.3,242.767,328.5
2930,249.167,266.5,268.667,340.367
2940,259.567,250.767,268.333,337.3
2950,269.367,279.1,257.767,328.533
2960,260.467,280.667,290.9,359.133
2970,277.3,273,281,344.567
2980,267.533,277.267,290.233,353.033
2990,252.067,264,273.667,345.867
3000,298.6,279.133,285.4,348.267
3010,248.633,244.767,261.233,313.233
3020,312.5,285.333,285.967,371.867
3030,310.467,294.433,297.1,374.9
3040,269.567,283.433,281.167,355.767
3050,265.133,274,266.5,322.4
3060,257.067,266.4,288.333,349.767
3070,239.267,252.933,276.433,311.833
3080,282.8,277.367,297.867,376.567
3090,292.967,276.867,312.967,410.267
3100,260.1,279.833,286.333,367.833
3110,291.533,310.4,302.367,363.767
3120,255.567,270,276.3,332.833
3130,304.633,298.6,282.767,370.933
3140,284.267,314.633,323.367,381.467
3150,277.133,276.833,286.4,372.233
3160,331.567,356.2,314.4,405.1
3170,300.267,288.033,310.433,367.6
3180,265.733,278.4,266.067,344.933
3190,302.767,944.867,293.7,346.167
3200,388.467,400.9,442.733,383.567
3210,283.233,285.167,289.067,342.1
3220,269,302.8,321.133,361.5
3230,323.767,338.8,351.133,437.4
3240,328.367,363.8,376.833,452.2
3250,326.933,330.733,337.133,399.2
3260,300.567,296.267,305.867,421.7
3270,317.167,334.233,324,393.367
3280,344.267,344.967,342.667,408.833
3290,308.733,314.133,320.767,398.367
3300,303.033,358.167,344.4,412.1
3310,317.3,307.3,313.533,367.867
3320,328.033,331.167,326.033,390.133
3330,321.267,302.367,318.6,403.333
3340,284.733,291,313.2,378.7
3350,331.467,347.9,320.633,418.067
3360,343.167,339.367,322.3,418.867
3370,340.367,348.433,344.6,414.033
3380,310.367,303.767,325.2,409.267
3390,329,311,348.667,409.567
3400,290.067,298.067,304.4,424.2
3410,332.333,347.133,350.7,444.133
3420,328.033,351.567,351.833,448.733
3430,302.8,304.267,321.9,387.533
3440,338.3,344.933,349.433,420.667
3450,307.867,324.933,333.367,404.733
3460,309.267,316.1,332.8,415.033
3470,342.5,348.167,369.467,458.433
3480,308.7,329.433,303.1,392.833
3490,341.533,333.067,342.233,428.1
3500,321.467,335.233,349.9,417.7
3510,345.567,389.267,355.7,446.633
3520,331.533,338.633,351.933,422.033
3530,357.3,363.133,356.267,442.7
3540,316.633,336.967,336.6,439.533
3550,355.2,330.7,356.967,418.767
3560,329.733,323.1,343.867,433.033
3570,353.167,369.767,372.1,454.233
3580,349.667,356.133,366,456.267
3590,357.633,382.867,346.1,412.2
3600,362.567,378,362.5,434.5
3610,328.833,344.467,339.067,425.567
3620,332.967,332,337.3,418.067
3630,371.1,362.267,350.3,441
3640,336.8,344.333,356.133,450.067
3650,333.333,351.2,367.367,441.933
3660,341.333,360.233,361.267,442.2
3670,367.733,371.9,378.767,472.333
3680,347.8,324.067,347.033,438.533
3690,370.033,362,372.133,466.533
3700,352.8,359.7,371.8,462.767
3710,366.5,348.233,360.4,455.233
3720,344.833,366.633,360.2,462.033
3730,328.6,322.733,346.1,427.5
3740,350.967,343.567,351.133,437.267
3750,369.7,390.367,376.267,458.367
3760,368.6,375.367,391.933,469.433
